Date	Close
15/10/2018	86
15/10/2018	92
16/10/2018	99
16/10/2018	76
16/10/2018	09
16/10/2018	55
17/10/2018	78
17/10/2018	01
17/10/2018	45
17/10/2018	41
18/10/2018	40
18/10/2018	22
18/10/2018	87
18/10/2018	29
19/10/2018	03
19/10/2018	67
19/10/2018	32
19/10/2018	53
20/10/2018	08
20/10/2018	66
20/10/2018	37
20/10/2018	39
22/10/2018	26
22/10/2018	54
22/10/2018	12
22/10/2018	36
23/10/2018	97
23/10/2018	26
23/10/2018	43
23/10/2018	61
24/10/2018	62
24/10/2018	06
24/10/2018	10
24/10/2018	07
25/10/2018	93
25/10/2018	81
25/10/2018	84
25/10/2018	76
26/10/2018	44
26/10/2018	90
26/10/2018	73
26/10/2018	38
27/10/2018	01
27/10/2018	44
27/10/2018	11
27/10/2018	76
29/10/2018	74
29/10/2018	74
29/10/2018	89
29/10/2018	41
30/10/2018	04
30/10/2018	85
30/10/2018	64
30/10/2018	89
31/10/2018	81
31/10/2018	10
31/10/2018	23
31/10/2018	55
11/01/2018	42
11/01/2018	30
11/01/2018	42
11/01/2018	88
11/02/2018	59
11/02/2018	42
11/02/2018	45
11/02/2018	91
11/03/2018	83
11/03/2018	21
11/03/2018	86
11/03/2018	90
11/05/2018	55
11/05/2018	88
11/05/2018	64
11/05/2018	42
11/06/2018	55
11/06/2018	07
11/06/2018	47
11/06/2018	85
11/07/2018	26
11/07/2018	50
11/07/2018	13
11/07/2018	81
11/08/2018	40
11/08/2018	58
11/08/2018	41
11/08/2018	91
11/09/2018	73
11/09/2018	29
11/09/2018	58
11/09/2018	69
11/10/2018	54
11/10/2018	18
11/10/2018	91
11/10/2018	86
11/12/2018	77
11/12/2018	45
11/12/2018	12
11/12/2018	29
13/11/2018	60
13/11/2018	42
13/11/2018	39
13/11/2018	94
14/11/2018	13
14/11/2018	86
14/11/2018	32
14/11/2018	12
15/11/2018	98
15/11/2018	66
15/11/2018	58
15/11/2018	83
16/11/2018	37
16/11/2018	54
16/11/2018	84
16/11/2018	50
17/11/2018	39
17/11/2018	09
17/11/2018	31
17/11/2018	52
19/11/2018	26
19/11/2018	28
19/11/2018	58
20/11/2018	19
20/11/2018	30
20/11/2018	44
20/11/2018	93
21/11/2018	13
21/11/2018	93
21/11/2018	92
21/11/2018	54
22/11/2018	66
22/11/2018	42
22/11/2018	53
22/11/2018	12
23/11/2018	91
23/11/2018	36
23/11/2018	14
23/11/2018	91
24/11/2018	25
24/11/2018	49
24/11/2018	38
24/11/2018	23
26/11/2018	40
26/11/2018	12
26/11/2018	69
26/11/2018	30
27/11/2018	29
27/11/2018	51
27/11/2018	17
27/11/2018	61
28/11/2018	02
28/11/2018	44
28/11/2018	72
28/11/2018	75
29/11/2018	67
29/11/2018	41
29/11/2018	61
29/11/2018	79
30/11/2018	81
30/11/2018	75
30/11/2018	33
30/11/2018	84
12/01/2018	15
12/01/2018	43
12/01/2018	83
12/01/2018	37
12/03/2018	56
12/03/2018	60
12/03/2018	39
12/03/2018	78
12/04/2018	50
12/04/2018	01
12/04/2018	61
12/04/2018	61
12/05/2018	98
12/05/2018	20
12/05/2018	21
12/05/2018	74
12/06/2018	38
12/06/2018	18
12/06/2018	18
12/06/2018	50
12/07/2018	88
12/07/2018	37
12/07/2018	63
12/07/2018	70
12/08/2018	84
12/08/2018	84
12/08/2018	68
12/10/2018	05
12/10/2018	86
12/10/2018	05
12/10/2018	06
12/11/2018	23
12/11/2018	72
12/11/2018	29
12/11/2018	55
12/12/2018	40
12/12/2018	80
12/12/2018	23
12/12/2018	65
13/12/2018	17
13/12/2018	40
13/12/2018	69
13/12/2018	98
14/12/2018	11
14/12/2018	46
14/12/2018	81
14/12/2018	55
15/12/2018	78
15/12/2018	51
15/12/2018	02
15/12/2018	13
17/12/2018	49
17/12/2018	61
17/12/2018	62
17/12/2018	35
18/12/2018	68
18/12/2018	47
18/12/2018	07
18/12/2018	41
19/12/2018	29
19/12/2018	40
19/12/2018	06
19/12/2018	06
20/12/2018	68
20/12/2018	08
20/12/2018	26
20/12/2018	30
21/12/2018	87
21/12/2018	24
21/12/2018	80
21/12/2018	46
22/12/2018	71
22/12/2018	75
22/12/2018	65
22/12/2018	41
24/12/2018	89
24/12/2018	63
24/12/2018	60
26/12/2018	20
26/12/2018	09
26/12/2018	43
26/12/2018	46
27/12/2018	15
27/12/2018	86
27/12/2018	45
27/12/2018	61
28/12/2018	50
28/12/2018	30
28/12/2018	41
28/12/2018	71
29/12/2018	39
29/12/2018	70
29/12/2018	03
29/12/2018	55
31/12/2018	85
31/12/2018	65
31/12/2018	81
01/02/2019	20
01/02/2019	06
01/02/2019	05
01/02/2019	34
01/03/2019	82
01/03/2019	04
01/03/2019	80
01/03/2019	30
01/04/2019	57
01/04/2019	94
01/04/2019	46
01/04/2019	63
01/05/2019	54
01/05/2019	77
01/05/2019	68
01/05/2019	56
01/07/2019	33
01/07/2019	54
01/07/2019	34
01/07/2019	23
01/08/2019	90
01/08/2019	11
01/08/2019	47
01/08/2019	27
01/09/2019	69
01/09/2019	83
01/09/2019	61
01/09/2019	93
01/10/2019	05
01/10/2019	58
01/10/2019	65
01/10/2019	34
01/11/2019	36
01/11/2019	22
01/11/2019	63
01/11/2019	93
01/12/2019	49
01/12/2019	58
01/12/2019	17
01/12/2019	18
14/01/2019	13
14/01/2019	74
14/01/2019	33
14/01/2019	01
15/01/2019	65
15/01/2019	87
15/01/2019	12
15/01/2019	56
16/01/2019	43
16/01/2019	44
16/01/2019	53
16/01/2019	83
17/01/2019	85
17/01/2019	70
17/01/2019	98
17/01/2019	66
18/01/2019	74
18/01/2019	60
18/01/2019	14
18/01/2019	39
19/01/2019	38
19/01/2019	01
19/01/2019	08
19/01/2019	91
21/01/2019	60
21/01/2019	29
21/01/2019	89
21/01/2019	18
22/01/2019	72
22/01/2019	99
22/01/2019	54
